id,level1_state0_dur,level1_state1_dur,level1_state2_dur,level2_state0_dur,level2_state1_dur,level2_state2_dur,level3_state0_dur,level3_state1_dur,level3_state2_dur,level4_state0_dur,level4_state1_dur,level4_state2_dur,level5_state0_dur,level5_state1_dur,level5_state2_dur,level6_state0_dur,level6_state1_dur,level6_state2_dur,level7_state0_dur,level7_state1_dur,level7_state2_dur,level8_state0_dur,level8_state1_dur,level8_state2_dur,level9_state0_dur,level9_state1_dur,level9_state2_dur,level10_state0_dur,level10_state1_dur,level10_state2_dur,level11_state0_dur,level11_state1_dur,level11_state2_dur
14364,6275,0,7985,6348,0,10999,9555,0,8001,18470,9973,8002,19361,9987,7998,18069,9986,8000,6610,0,7985,9374,8000,7999,10558,7998,7985,10571,7999,7985,10193,0,8000
14365,6261,0,7986,6348,0,11000,9555,0,7987,18442,9974,8001,19371,9985,7990,18080,9986,8001,6471,0,7986,9388,7999,8001,10556,7999,7986,10555,7987,7999,10207,0,7917
14366,6262,0,7999,6349,0,10930,9542,0,7999,18458,9998,7999,19362,10000,8000,18069,9983,8001,6595,0,7987,9377,7985,7986,10552,8001,8001,10568,7998,7987,10194,0,7998
14367,6263,0,7998,6346,0,10986,9555,0,8000,18455,9987,7986,19359,9988,8000,17960,9943,7985,6596,0,7986,9392,7986,7985,10568,7987,7987,10426,8001,7988,10207,0,8001
14368,6262,0,8000,6361,0,10998,9558,0,7986,18428,9891,7987,19330,9989,7988,17985,9971,7999,6610,0,7999,9372,8000,7987,10542,8001,7999,10555,8000,8000,10208,0,7985
14369,6261,0,7999,6361,0,11000,9556,0,8000,18443,9986,8000,19068,9902,7931,17842,9987,7916,6499,0,7945,9374,8000,8000,10481,7933,8003,10055,7959,7986,10207,0,7999
14370,6261,0,8001,6362,0,10999,9554,0,8000,18431,9974,8000,19373,9987,8000,18038,9988,8000,6597,0,8002,9360,8000,8000,10571,7999,7985,10568,8000,8000,10208,0,8000
14373,5859,0,7992,6349,0,10976,9523,0,6558,17933,9958,7991,19294,9914,7881,17415,9954,7854,6528,0,7712,8926,7977,7560,10428,7992,7946,10387,7893,7865,9954,0,7921
14374,6263,0,7935,6322,0,10997,9551,0,7991,18392,9873,7839,19322,10000,7994,17947,9996,7895,6600,0,7991,9357,7754,7991,10566,7992,7992,10329,7893,7922,9815,0,7795
14375,6262,0,7993,6336,0,10915,9439,0,7990,18433,9998,8005,19350,9998,7994,18045,9993,7977,6406,0,7994,8980,7937,7991,10524,7825,7992,10384,7992,7935,10191,0,7992
14376,6262,0,7991,6363,0,10986,9536,0,7991,18432,9997,7992,19352,9982,7991,18056,9982,7993,6585,0,7990,9369,7991,7993,10539,7992,7991,10539,7994,7992,10191,0,7991
14377,6264,0,7990,6349,0,10998,9538,0,7991,18447,9996,7992,19345,10001,7994,18056,9995,7991,6584,0,7992,9370,7992,7992,10456,7841,7992,10539,7993,7879,10152,0,7989
14378,6263,0,7992,6350,0,10999,9536,0,8005,18473,9999,7992,19365,9998,7992,18069,9998,7991,6586,0,7990,9370,7992,7991,10540,7992,7990,10552,7992,7992,10204,0,7994
14379,6263,0,7993,6349,0,10859,9537,0,7991,18458,9996,7992,19353,9982,7992,18055,9996,7991,6586,0,7992,9383,7991,7992,10538,7991,7991,10555,7992,7992,10190,0,7992
14380,6263,0,7992,6349,0,10998,9538,0,7991,18448,9997,7991,19351,9997,7994,17988,9954,7990,6584,0,7992,9384,7993,7992,10537,7990,7991,10539,7992,7991,10190,0,7992
14381,6261,0,7996,6349,0,10999,9550,0,7991,18434,9982,7993,19366,9996,7994,18055,9996,7992,6585,0,7992,9368,7993,7976,10526,7977,7992,10534,7991,7992,10192,0,7992
14382,6274,0,7991,6350,0,10999,9537,0,7992,18445,9998,7991,19340,9995,7992,18054,9983,7993,6586,0,8006,9354,7990,7992,10539,7992,7991,10538,7992,7992,10204,0,7991
14383,6264,0,7990,6350,0,10998,9538,0,7991,18445,9984,7991,19377,9997,7991,18085,9996,7992,6597,0,7990,9369,7992,7992,10538,7990,7993,10540,7991,7991,10192,0,7990
14384,6263,0,7992,6350,0,10998,9551,0,7991,18449,9997,7993,19349,9998,7991,18029,9997,7922,6559,0,7991,9357,7990,7992,10552,7992,7993,10552,7993,7992,10120,0,7951
14385,6274,0,7992,6349,0,10846,9537,0,7992,18433,9999,7992,19140,9939,7992,18070,9996,7992,6584,0,7908,9284,7994,7880,10512,7992,7992,10539,7991,7991,10189,0,7994
14397,6254,0,7999,6361,0,10985,9556,0,7999,18442,10002,7987,19358,9984,8000,18057,9916,7985,6597,0,7985,9374,7999,7987,10540,8000,8000,10555,8000,7986,10194,0,7984
14400,6263,0,7992,6348,0,10986,9538,0,7990,18457,9997,7991,19368,9981,7992,18054,9997,7994,6584,0,7993,9371,7992,7991,10565,7992,7991,10541,7990,7992,10191,0,7991
14401,6263,0,7992,6360,0,10986,9553,0,7991,18462,9997,7991,19363,9971,7992,18059,9996,7991,6600,0,7990,9385,8004,7991,10541,7991,7991,10539,7992,8006,10192,0,7991
14402,6264,0,7991,6362,0,10985,9538,0,7991,18448,9995,7992,19366,9983,7992,18042,9997,7990,6528,0,7980,9355,7922,7992,10553,7992,7992,10540,7992,7991,10190,0,7991
14404,6288,0,7881,6355,0,10985,9556,0,7982,18292,9760,7981,19366,9973,7997,18061,9980,7968,6598,0,7992,9271,7993,7992,10552,7992,7991,10552,7993,7991,10191,0,7990
14405,6276,0,7991,6349,0,10997,9538,0,7990,18434,9996,7991,19353,9996,7991,18044,9996,7990,6543,0,7908,9371,7992,7992,10554,7990,7992,10539,7993,7992,10205,0,7991
14406,6264,0,7991,6348,0,10998,9537,0,7992,18417,9997,7992,19366,9984,7991,18054,9998,7992,6585,0,7991,9371,7991,7991,10540,7991,7991,10538,7991,7993,10190,0,7992
14407,6275,0,7993,6348,0,10998,9551,0,7993,18460,9996,8006,19350,9996,7993,18080,10000,7994,6584,0,7991,9383,7993,7992,10553,7993,7991,10538,7992,7992,10191,0,7991
